name,lat,lng,address,city,state,postal_code
Mad Greek,40.72529752043344,-111.8897424694647,50 E 2100 S,Salt Lake City,UT,84115
Flatbread,40.725257236731444,-111.8610489472108,1044 E 2100 S,Salt Lake City,UT,84106
Tucanos Brazilian Grill,40.765752211450845,-111.90272963029403,162 S 400 W,Salt Lake City,UT,84101
The Dodo Restaurant,40.726118192198854,-111.85210238323357,1355 E 2100 S,Salt Lake City,UT,84105
Sweet Lake Biscuits & Limeade,40.733713732189855,-111.89275396818608,54 W 1700 S,Salt Lake City,UT,84115
Alberto's Mexican Food,40.758170100993695,-111.89909242330585,511 S 300 W,Salt Lake City,UT,84101
Eggs In the City,40.7418235167977,-111.84252362635655,1675 E 1300 S,Salt Lake City,UT,84105
Avenues Proper,40.77833127574806,-111.87808153498754,376 E 8th Ave,Salt Lake City,UT,84103
Apollo Burgers,40.772700850842284,-111.9398649984204,143 N Redwood Rd,Salt Lake City,UT,84116
Blue Plate Diner,40.72588721241281,-111.83068108692163,2041 S 2100 E,Salt Lake City,UT,84108
Costa Vida,40.76568509396322,-111.90337847486876,171 S Rio Grande,Salt Lake City,UT,84101
Feldman's Deli,40.71293098071877,-111.83363299043441,2005 E 2700 S,Salt Lake City,UT,84109
Fresh Donut And Deli,40.71294345580974,-111.88799117956665,2699 S State St,Salt Lake City,UT,84115
Kimi's Chop & Oyster House,40.72414126516545,-111.85921564014173,2155 S Highland Dr,Salt Lake City,UT,84106
Tony Caputo's Market & Deli,40.736681038868866,-111.84805361691252,1516 S 1500 E,Salt Lake City,UT,84105
Oh Mai,40.69691755229839,-111.88804508321972,3425 S State St,Salt Lake City,UT,84115
Pat's Barbecue,40.72445393209254,-111.8955928073654,155 W Commonwealth Ave,Salt Lake City,UT,84115
Little Saigon,40.72618696520326,-111.86639881063698,"S, 2021 E Windsor St",Salt Lake City,UT,84105
Bombay House,40.7186808870046,-111.81178545272695,2731 E Parleys Way,Salt Lake City,UT,84109
Town & Country Market,40.70960730408515,-111.89141829275452,2840 S Main St,South Salt Lake,UT,84115
Wienerschnitzel,40.73885239413552,-111.89928056598599,1405 S 300 W,Salt Lake City,UT,84115
Old Bridge Cafe,40.700264000000004,-111.88343799999998,249 E 3300 S,Salt Lake City,UT,84115
Crown Burgers,40.701426210688005,-111.85160060777983,3190 S Highland Dr,Salt Lake City,UT,84106
Kneaders Bakery & Cafe,40.76838138538909,-111.88945845519602,28 S State St #235,Salt Lake City,UT,84111
Finn's Cafe,40.7342524256524,-111.85986217261251,1624 S 1100 E,Salt Lake City,UT,84105
The Habit Burger Grill,40.724549,-111.861187,2121 S. McClelland St.,Salt Lake City,UT,84106
Cafe Zupas,40.72210234441361,-111.85655315397445,2236 S 1300 E,Sugarhouse,UT,84106
Café Zupas,40.76151417447181,-111.8737026906323,613 E 400 S,Salt Lake City,UT,84102
Dickey's Barbecue Pit,40.72999888753087,-111.9007705052248,335 W 1830 S,Salt Lake City,UT,84115
Cracker Barrel Old Country Store,40.69911483009282,-111.95032203901168,2283 West City Center Court I-215 & 3500 South,West Valley City,UT,84119
